id_vaca_gps,Numero_pendiente,IdUsuario,latitud,longitud,rssi,fecha
1,1001,1,43.128365,-8.486128,-50.0,2024-04-20 12:39:41
2,1001,1,43.128365,-8.486128,-50.0,2024-04-20 12:39:42
3,1001,1,43.128353,-8.4861,-50.0,2024-04-20 12:39:51
4,1001,1,43.128353,-8.4861,-51.0,2024-04-20 12:39:54
5,1001,1,43.128376,-8.486153,-50.0,2024-04-20 12:40:42
6,1001,1,43.128391,-8.486165,-54.0,2024-04-20 12:40:52
7,1001,1,43.128391,-8.486167,-55.0,2024-04-20 12:40:55
8,1001,1,43.128403,-8.486186,-58.0,2024-04-20 12:41:03
9,1001,1,43.128403,-8.486189,-58.0,2024-04-20 12:41:06
10,1001,1,43.128422,-8.486225,-40.0,2024-04-20 12:41:16
11,1001,1,43.128422,-8.486224,-40.0,2024-04-20 12:41:19
12,1001,1,43.128414,-8.48621,-41.0,2024-04-20 12:41:27
13,1001,1,43.128399,-8.486181,-46.0,2024-04-20 12:41:41
14,1001,1,43.128399,-8.486181,-44.0,2024-04-20 12:41:42
15,1001,1,43.128395,-8.486178,-46.0,2024-04-20 12:41:45
16,1001,1,43.128387,-8.486171,-55.0,2024-04-20 12:41:58
17,1001,1,43.12838,-8.486155,-54.0,2024-04-20 12:42:07
18,1001,1,43.128372,-8.486144,-52.0,2024-04-20 12:42:15
19,1001,1,43.128361,-8.48612,-30.0,2024-04-20 12:42:29
20,1001,1,43.128361,-8.48612,-33.0,2024-04-20 12:42:30
21,1001,1,43.128361,-8.48612,-32.0,2024-04-20 12:42:33
22,1001,1,43.128365,-8.48612,-43.0,2024-04-20 12:42:43
23,1001,1,43.128387,-8.486157,-35.0,2024-04-20 12:42:51
24,1001,1,43.128407,-8.486195,-38.0,2024-04-20 12:43:03
25,1001,1,43.128212,-8.485694,-59.0,2024-04-20 12:43:20
26,1001,1,43.128212,-8.485694,-45.0,2024-04-20 12:43:21
27,1001,1,43.128212,-8.485694,-56.0,2024-04-20 12:43:23
28,1001,1,43.128212,-8.485694,-56.0,2024-04-20 12:43:24
29,1001,1,43.128212,-8.485694,-53.0,2024-04-20 12:43:25
30,1001,1,43.128212,-8.485694,-49.0,2024-04-20 12:43:26
31,1001,1,43.128212,-8.485694,-49.0,2024-04-20 12:43:27
32,1001,1,43.128212,-8.485694,-49.0,2024-04-20 12:43:28
33,1001,1,43.128212,-8.485694,-50.0,2024-04-20 12:43:29
34,1001,1,43.128212,-8.485694,-57.0,2024-04-20 12:43:30
35,1001,1,43.12785,-8.485934,-54.0,2024-04-20 12:43:37
36,1001,1,43.12785,-8.485934,-53.0,2024-04-20 12:43:38
37,1001,1,43.12785,-8.485934,-53.0,2024-04-20 12:43:39
38,1001,1,43.12785,-8.485934,-64.0,2024-04-20 12:43:50
39,1001,1,43.12785,-8.485934,-60.0,2024-04-20 12:43:55
40,1001,1,43.12785,-8.485934,-65.0,2024-04-20 12:43:56
41,1001,1,43.12785,-8.485934,-77.0,2024-04-20 12:43:57
42,1001,1,43.12785,-8.485934,-70.0,2024-04-20 12:43:58
43,1001,1,43.12785,-8.485934,-79.0,2024-04-20 12:43:59
44,1001,1,43.12785,-8.485934,-79.0,2024-04-20 12:44:00
45,1001,1,43.12785,-8.485934,-65.0,2024-04-20 12:44:02
46,1001,1,43.12785,-8.485934,-63.0,2024-04-20 12:44:03
47,1001,1,43.12785,-8.485934,-66.0,2024-04-20 12:44:04
48,1001,1,43.12785,-8.485934,-72.0,2024-04-20 12:44:05
49,1001,1,43.12785,-8.485934,-82.0,2024-04-20 12:44:06
50,1001,1,43.12785,-8.485934,-102.0,2024-04-20 12:44:13
51,1001,1,43.12785,-8.485934,-92.0,2024-04-20 12:44:15
52,1001,1,43.12785,-8.485934,-88.0,2024-04-20 12:44:22
53,1001,1,43.12785,-8.485934,-89.0,2024-04-20 12:44:23
54,1001,1,43.12785,-8.485934,-89.0,2024-04-20 12:44:24
55,1001,1,43.12785,-8.485934,-88.0,2024-04-20 12:44:25
56,1001,1,43.12785,-8.485934,-89.0,2024-04-20 12:44:26
57,1001,1,43.12785,-8.485934,-88.0,2024-04-20 12:44:34
58,1001,1,43.12785,-8.485934,-88.0,2024-04-20 12:44:35
59,1001,1,43.12785,-8.485934,-88.0,2024-04-20 12:44:43
60,1001,1,43.12785,-8.485934,-87.0,2024-04-20 12:44:44
61,1001,1,43.128525,-8.486317,-88.0,2024-04-20 12:44:52
62,1001,1,43.128506,-8.486288,-88.0,2024-04-20 12:44:54
63,1001,1,43.128506,-8.486288,-88.0,2024-04-20 12:44:56
64,1001,1,43.128471,-8.486277,-88.0,2024-04-20 12:45:08
65,1001,1,43.128475,-8.486275,-88.0,2024-04-20 12:45:11
66,1001,1,43.128479,-8.486274,-88.0,2024-04-20 12:45:16
67,1001,1,43.128517,-8.48626,-89.0,2024-04-20 12:45:21
68,1001,1,43.128357,-8.486352,-79.0,2024-04-20 12:45:33
69,1001,1,43.128376,-8.486275,-72.0,2024-04-20 12:45:41
70,1001,1,43.12851,-8.485855,-88.0,2024-04-20 12:45:46
71,1001,1,43.12851,-8.485855,-90.0,2024-04-20 12:45:48
72,1001,1,43.128216,-8.485354,-102.0,2024-04-20 12:45:53
73,1001,1,43.128216,-8.485354,-104.0,2024-04-20 12:45:54
74,1001,1,43.128216,-8.485354,-102.0,2024-04-20 12:45:55
75,1001,1,43.128216,-8.485354,-100.0,2024-04-20 12:45:56
